Branch Name,Types,Business Status,City,Province,Region,Address,Latitude,Longitude,Rating,User Ratings Count,Place ID,Google Maps Link
BDO Laoag - Castro Branch,Bank,OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"Pichay Bldg. J.P. Rizal, corner Andres Castro, St, Laoag City, Ilocos Norte, Philippines",18.1948833,120.59559,2.2,10,ChIJuxRxuCHGjjMRTKvXALpguzk,https://www.google.com/maps/place/?q=place_id:ChIJuxRxuCHGjjMRTKvXALpguzk
BDO Laoag - Balintawak Branch,Bank,OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"Corner Rizal & Balintawak St 2900, Laoag City, Ilocos Norte, Philippines",18.1960084,120.5916323,3.3,9,ChIJARXi2SDGjjMRMx40IkoCYqM,https://www.google.com/maps/place/?q=place_id:ChIJARXi2SDGjjMRMx40IkoCYqM
BDO,Bank,OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"Fort Ilocandia Resort, Barangay 37 Calayab, Laoag City, Ilocos Norte, Philippines",18.1554367,120.5219489,3,1,ChIJZcFCYZu4jjMRGvv0jLZhl0I,https://www.google.com/maps/place/?q=place_id:ChIJZcFCYZu4jjMRGvv0jLZhl0I
BDO Ilocos Norte - Batac Branch,Bank,OPERATIONAL,City of Batac,Ilocos Norte,Ilocos Region,"Aoigan Bldg, Washington St, City of Batac, 2906 Ilocos Norte, Philippines",18.0566725,120.565039,4.2,12,ChIJrbFy307AjjMRvSMdByyAcXs,https://www.google.com/maps/place/?q=place_id:ChIJrbFy307AjjMRvSMdByyAcXs
BDO Robinsons Ilocos Branch,Bank,OPERATIONAL,Laoag City,Ilocos,Ilocos Region,"Unit 1-00144 Robinsons Place Ilocos Brgy. 1 San Francisco, San Nicolas, Ilocos Norte, Philippines",18.1804373,120.5921187,3.3,6,ChIJSQXrGJvHjjMRfuNEUI7SPRQ,https://www.google.com/maps/place/?q=place_id:ChIJSQXrGJvHjjMRfuNEUI7SPRQ
BDO Ilocos Sur - Candon Branch,Bank,OPERATIONAL,Candon City,Ilocos Sur,Ilocos Region,"National Highway corner, 17 Abaya St, Candon City, 2710 Lalawigan ng Ilocos Sur, Philippines",17.1907721,120.4478568,3.2,13,ChIJJbuC_e0ZjjMRfkCh6IGXux4,https://www.google.com/maps/place/?q=place_id:ChIJJbuC_e0ZjjMRfkCh6IGXux4
Bdo,Bank,OPERATIONAL,Cabugao,Ilocos Sur,Ilocos Region,"Cabugao, Ilocos Sur, Philippines",17.8003964,120.4555306,4,3,ChIJS7PLUAqMjjMRfzDNoQqx-zs,https://www.google.com/maps/place/?q=place_id:ChIJS7PLUAqMjjMRfzDNoQqx-zs
Banco De Oro - Robinsons Ilocos,ATM,OPERATIONAL,Laoag City,Ilocos,Ilocos Region,"Unit 1-00144, Robinson's Place, San Nicolas, 2901 Ilocos Norte, Philippines",18.1804055,120.5921917,2.3,6,ChIJuUkWHz_GjjMRxTYpEU1ro7E,https://www.google.com/maps/place/?q=place_id:ChIJuUkWHz_GjjMRxTYpEU1ro7E
BDO,ATM,OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"Robinsons Ilocos, Barangay 1 San Francisco, San Nicolas, 2901 Ilocos Norte, Philippines",18.1804312,120.5920706,5,1,ChIJJfBYGT_GjjMRz9d6PlzkVCQ,https://www.google.com/maps/place/?q=place_id:ChIJJfBYGT_GjjMRz9d6PlzkVCQ
BDO Bonifacio Global City - Burgos Circle Branch,Bank,OPERATIONAL,Taguig,NCR,NCR,"Unit 1-F & 1-E G/F Crescent Park Residences 2nd Avenue, corner Burgos Cir, Taguig, Philippines",14.553203,121.0444073,1.4,28,ChIJnbBGcvrIlzMRLozgBitzxn0,https://www.google.com/maps/place/?q=place_id:ChIJnbBGcvrIlzMRLozgBitzxn0
BDO,ATM,OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"SM Hypermarket, J. P. Rizal St, Laoag City, 2900 Ilocos Norte, Philippines",18.1963763,120.5916227,,,ChIJp0dZGiHGjjMRgiBUWEweNqI,https://www.google.com/maps/place/?q=place_id:ChIJp0dZGiHGjjMRgiBUWEweNqI
BDO Vigan - Quezon Avenue Branch,Bank,OPERATIONAL,Vigan,Ilocos Sur,Ilocos Region,"Corner Bonifacio St. & Quezon Ave. 2900, Vigan, Lalawigan ng Ilocos Sur, Philippines",17.5736495,120.3863987,2.3,8,ChIJ70y6VXRljjMRwg0zZbsPY7U,https://www.google.com/maps/place/?q=place_id:ChIJ70y6VXRljjMRwg0zZbsPY7U
BDO Vigan - Puregold Branch,Bank,OPERATIONAL,Vigan City,Ilocos Sur,Ilocos Region,"Puregold, Jose Singson, Sta. Elena, Vigan City, Ilocos Sur, Philippines",17.5672005,120.3852096,4.2,5,ChIJbUZbW3dljjMRee8US-zYrzI,https://www.google.com/maps/place/?q=place_id:ChIJbUZbW3dljjMRee8US-zYrzI
BDO Vigan - Plaza Burgos,Bank,OPERATIONAL,Vigan City,Ilocos Sur,Ilocos Region,"G/F, Cordillera Family Inn, Leona, Florentino St, Brgy. 1, Vigan City, 2700 Ilocos Sur, Philippines",17.5737798,120.3886553,5,1,ChIJ5R8QvClljjMRyDCbYfFXPyk,https://www.google.com/maps/place/?q=place_id:ChIJ5R8QvClljjMRyDCbYfFXPyk
BDO Metro Vigan Cooperative Hospital ATM,ATM,OPERATIONAL,Bantay,Ilocos Sur,Ilocos Region,"G/F main entrance Metro Vigan Cooperative Hospital, Roxas Dike, Bantay, Ilocos Sur, Philippines",17.5804076,120.3861022,,,ChIJ0fSasAtljjMRB_z7WqscP0A,https://www.google.com/maps/place/?q=place_id:ChIJ0fSasAtljjMRB_z7WqscP0A
BDO Ilocos Sur - Narvacan Branch,Bank,OPERATIONAL,Narvacan,Ilocos Sur,Ilocos Region,"National Road, Narvacan, Ilocos Sur, Philippines",17.4195555,120.4737164,3.4,5,ChIJ978u065rjjMRLENriuWi-fE,https://www.google.com/maps/place/?q=place_id:ChIJ978u065rjjMRLENriuWi-fE
Banco De Oro ATM,ATM,OPERATIONAL,Bantay,Ilocos Sur,Ilocos Region,"H9JP+8M4, Metro Vigan Cooperative Hospital, Rizal Avenue, Bantay, Vigan City, Ilocos Sur, Philippines",17.5807537,120.3867301,,,ChIJQ-YXygtljjMR0xjSgcDpuD8,https://www.google.com/maps/place/?q=place_id:ChIJQ-YXygtljjMR0xjSgcDpuD8
BDO Abra-Bangued Branch,Bank,OPERATIONAL,Bangued,Abra,Cordillera Administrative Region,"Unit 12, The Rosario Bldg Taft St. corner, Magallanes St, Bangued, 2800 Abra, Philippines",17.5952111,120.6183333,4.6,5,ChIJOeRGDZDLlzMRtO4AGJjxmis,https://www.google.com/maps/place/?q=place_id:ChIJOeRGDZDLlzMRtO4AGJjxmis
