Branch Name,Types,Business Status,City,Province,Region,Address,Latitude,Longitude,Rating,User Ratings Count,Reviews,Place ID,Google Maps Link
BPI Laoag Rizal Branch,bank,OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"JP Rizal, corner Balintawak, Laoag City, 2900 Ilocos Norte, Philippines",18.1964707,120.5921672,2.9,8,Very very very very long wait time.; Somewhat long wait time; Good,ChIJdaZG2CDGjjMRRrWubvluEDc,https://www.google.com/maps/place/?q=place_id:ChIJdaZG2CDGjjMRRrWubvluEDc
BPI Family Savings Bank,bank,OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"5HVW+G2J, A. Bonifacio, Laoag City, 2900 Ilocos Norte, Philippines",18.1938567,120.5950343,2.3,4,"RUDE TELLERS; Why is closing at 9pm on the MAP, but it's not ðŸ™„ â€¦",ChIJgzXRkSHGjjMRrN310c-GsVY,https://www.google.com/maps/place/?q=place_id:ChIJgzXRkSHGjjMRrN310c-GsVY
BPI Laoag Fonacier Branch,bank,OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"Rizal corner, S Fonacier, Laoag City, 2900 Ilocos Norte, Philippines",18.1953691,120.5946526,3,5,You have a lazy or stupid security guard who blocks the parking lot and prefers the car sticking out on the highway rather than letting it park momentarily for safety. â€¦,ChIJQ7aOriHGjjMRjsEvlyUnNEI,https://www.google.com/maps/place/?q=place_id:ChIJQ7aOriHGjjMRjsEvlyUnNEI
BPI Laoag Rizal Branch ATM,atm,OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"Ilocos Norte, Balintawak, cor J. P. Rizal St, Sta. Angela, Laoag City, Ilocos Norte, Philippines",18.1958526,120.5915619,,,No reviews found,ChIJycZ02CDGjjMRAGuX48tzw14,https://www.google.com/maps/place/?q=place_id:ChIJycZ02CDGjjMRAGuX48tzw14
BPI Family Savings Laoag Branch ATM & CAM,atm,OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"Ilocos Norte, Ave, F.R. Castro, Laoag City, Ilocos Norte, Philippines",18.1953601,120.5945937,,,No reviews found,ChIJ3XSb_m_HjjMRMDK8hfIcdvE,https://www.google.com/maps/place/?q=place_id:ChIJ3XSb_m_HjjMRMDK8hfIcdvE
BPI Batac Branch,bank,OPERATIONAL,City of Batac,Ilocos Norte,Ilocos Region,"Washington St. corner, Otis St, City of Batac, 2906 Ilocos Norte, Philippines",18.0573645,120.5654752,4.8,4,The staff are friendly â¤ï¸,ChIJvWyPrEnAjjMR9pi_VqPwqnA,https://www.google.com/maps/place/?q=place_id:ChIJvWyPrEnAjjMR9pi_VqPwqnA
BPI Batac Branch ATM,atm,OPERATIONAL,City of Batac,Ilocos Norte,Ilocos Region,"Washington cor. Otis Sts., Brgy. 2, Ilocos Norte, City of Batac, Ilocos Norte, Philippines",18.0584743,120.563618,4.3,4,No recent reviews,ChIJm3BLjEjAjjMRnTZQsoV4cOg,https://www.google.com/maps/place/?q=place_id:ChIJm3BLjEjAjjMRnTZQsoV4cOg
BPI San Nicolas Branch,bank,OPERATIONAL,San Nicolas,Ilocos Norte,Ilocos Region,"G/F, Boy Construction Corner Barba St.and National Highway, San Nicolas, 2901 Ilocos Norte, Philippines",18.179525,120.5905371,3.3,3,"â¤ï¸â¤ï¸â¤ï¸; BPI needs to have proper personnel to update their information online. It says Open Bonifacio Day hours closes at 4:30. I travelled for 2 hours just to see that it is close at 12:30 PM. Also, BPI's FB Page is different from this Google Maps info.",ChIJxUpIAUHGjjMR6oNgC0ll0VY,https://www.google.com/maps/place/?q=place_id:ChIJxUpIAUHGjjMR6oNgC0ll0VY
BPI Ilocos Norte Cooperative ATM,atm,OPERATIONAL,Dingras,Ilocos Norte,Ilocos Region,"Brgy, Norte, Dingras, Ilocos Norte, Philippines",18.1370759,120.6768816,,,No reviews found,ChIJf4jCW_vEjjMRNfH0ijT3N-M,https://www.google.com/maps/place/?q=place_id:ChIJf4jCW_vEjjMRNfH0ijT3N-M
Bank of the Philippine Islands - San Nicolas,bank,OPERATIONAL,San Nicolas,Ilocos Norte,Ilocos Region,"G/F Boy Construction Building, Barangay 2 San Nicolas, Ilocos Norte, Philippines",18.1795604,120.5904543,1,1,Waited 2 hours just to pick-up an ATM card. But if you are VIP (Doctors/Attorney); they will help you right away.,ChIJ36dGAUHGjjMRVmSGUfc__TU,https://www.google.com/maps/place/?q=place_id:ChIJ36dGAUHGjjMRVmSGUfc__TU
BPI Robinson'S San Nicolas ATM,atm,OPERATIONAL,San Nicolas,Ilocos Norte,Ilocos Region,"Brgy. San Francisco, San Nicolas, Ilocos Norte, San Nicolas, Ilocos Norte, Philippines",18.18005,120.59289,4,1,No reviews found,ChIJ19DoED_GjjMRuut-OLNxhuA,https://www.google.com/maps/place/?q=place_id:ChIJ19DoED_GjjMRuut-OLNxhuA
BPI Ilocos ATM,atm,OPERATIONAL,San Nicolas,Ilocos Norte,Ilocos Region,"Brgy. 22 San Nicolas, Laoag City, Ilocos Norte, Philippines",18.16782,120.61021,2,1,Undispensed withdrawal it take too long to settle for the send back the money to the atm holder,ChIJW6TXuHHGjjMRUw99q3YZNFU,https://www.google.com/maps/place/?q=place_id:ChIJW6TXuHHGjjMRUw99q3YZNFU
BPI Northwestern University ATM,atm,OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"Don Mariano, Marcos Ave, Laoag City, Ilocos Norte, Philippines",18.160564,120.6457875,5,1,No recent reviews,ChIJ9agObsnHjjMRqPofqwFy29E,https://www.google.com/maps/place/?q=place_id:ChIJ9agObsnHjjMRqPofqwFy29E
