Branch Name,Types,Business Status,City,Province,Region,Address,Latitude,Longitude,Rating,User Ratings Count,Place ID,Google Maps Link
LANDBANK - Laoag,Bank,OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"5HVX+9GJ, J. P. Rizal St, Laoag City, 2900 Ilocos Norte, Philippines",18.1934207,120.5987581,2.3,9,ChIJ21lxPB_GjjMRrbVkY15EgeM,https://www.google.com/maps/place/?q=place_id:ChIJ21lxPB_GjjMRrbVkY15EgeM
Landbank A.T.M,ATM,OPERATIONAL,City of Batac,Ilocos Norte,Ilocos Region,"3H86+9X5, Washington St, Barangay Nalupta, City of Batac, 2906 Ilocos Norte, Philippines",18.0658681,120.5624764,3.7,3,ChIJtxmt-E_AjjMRKZvzzjl2ljQ,https://www.google.com/maps/place/?q=place_id:ChIJtxmt-E_AjjMRKZvzzjl2ljQ
LANDBANK ATM,ATM,OPERATIONAL,City of Batac,Ilocos Norte,Ilocos Region,"3H47+6WM, Washington St, Brgy Ablan., City of Batac, 2906 Ilocos Norte, Philippines",18.0555984,120.5647944,,,ChIJdRgHL0jAjjMR8X1hqZzc3lM,https://www.google.com/maps/place/?q=place_id:ChIJdRgHL0jAjjMR8X1hqZzc3lM
Landbank,ATM,OPERATIONAL,Bacarra,Ilocos Norte,Ilocos Region,"7J73+X45, Bacarra, Ilocos Norte, Philippines",18.2514563,120.6109378,,,ChIJnxHIaADJjjMRuDMbCtfv2Pk,https://www.google.com/maps/place/?q=place_id:ChIJnxHIaADJjjMRuDMbCtfv2Pk
LANDBANK - San Nicolas,Bank,OPERATIONAL,San Nicolas,Ilocos Norte,Ilocos Region,"Plaza Bldg. Valdez Center Barangay 1, San Francisco, 365 Corner National Hwy, Barangay 1, San Francisco, San Nicolas, 2901 Ilocos Norte, Philippines",18.1809438,120.5916978,5,1,ChIJ4wvA2j7GjjMRHeqJQyDk-H8,https://www.google.com/maps/place/?q=place_id:ChIJ4wvA2j7GjjMRHeqJQyDk-H8
LANDBANK - Vigan,Bank,OPERATIONAL,Vigan City,Ilocos Sur,Ilocos Region,"H9FQ+P2V, Vigan City, Ilocos Sur, Philippines",17.5743595,120.3875592,2.1,11,ChIJ1c-MBXVljjMRPDra1Drzdkc,https://www.google.com/maps/place/?q=place_id:ChIJ1c-MBXVljjMRPDra1Drzdkc
LANDBANK - Narvacan,Bank,OPERATIONAL,Narvacan,Ilocos Sur,Ilocos Region,"National Highway, Barangay San Jose, Narvacan, 2704, Ilocos Sur, Manila N Rd, Narvacan, Ilocos Sur, Philippines",17.4177606,120.473833,3.9,14,ChIJs63FTKlrjjMRc8X6WKjYfnE,https://www.google.com/maps/place/?q=place_id:ChIJs63FTKlrjjMRc8X6WKjYfnE
Landbank,ATM,OPERATIONAL,Banna,Ilocos Norte,Ilocos Region,"Banna, Ilocos Norte, Philippines",17.9801805,120.6545664,,,ChIJ6eJEHabpjjMRvpLslPZ7SOs,https://www.google.com/maps/place/?q=place_id:ChIJ6eJEHabpjjMRvpLslPZ7SOs
LandBank Easy Acces Facility (LEAF) Pasuquin,Bank,OPERATIONAL,Pasuquin,Ilocos Norte,Ilocos Region,"8JM9+286, Pasuquin, Ilocos Norte, Philippines",18.3325483,120.618265,5,1,ChIJk4mYy2LLjjMRfdZSFhoky48,https://www.google.com/maps/place/?q=place_id:ChIJk4mYy2LLjjMRfdZSFhoky48
LANDBANK ATM,ATM,OPERATIONAL,Paoay,Ilocos Norte,Ilocos Region,"3G6C+FH5 Parish Office & Centennial Hall, Paoay, 2902 Ilocos Norte, Philippines",18.0611836,120.5213885,3,2,ChIJ7cyOevO_jjMRq2_6XYHB-Dk,https://www.google.com/maps/place/?q=place_id:ChIJ7cyOevO_jjMRq2_6XYHB-Dk
Dingras Municipal Hall Landbank ATM,ATM,OPERATIONAL,Dingras,Ilocos Norte,Ilocos Region,"4M3W+7X6, Dingras, Ilocos Norte, Philippines",18.1031551,120.697416,3,1,ChIJaXrU09DFjjMRrIHjsBL-4Yw,https://www.google.com/maps/place/?q=place_id:ChIJaXrU09DFjjMRrIHjsBL-4Yw
LANDBANK - Bangued,Bank,OPERATIONAL,Bangued,Abra,Cordillera Administrative Region,"HJW9+64V, Mega Centrum Building, Taft cor Rizal Sts., Bangued, Abra, Bangued, Philippines",17.5956238,120.6178128,2.8,10,ChIJqQAohwFcjjMRfaSaCzhOojw,https://www.google.com/maps/place/?q=place_id:ChIJqQAohwFcjjMRfaSaCzhOojw
