Branch Name,Types,Business Status,City,Province,Region,Address,Latitude,Longitude,Rating,User Ratings Count,Place ID,Google Maps Link
UnionBank of the Philippines - Laoag,Bank,OPERATIONAL,San Nicolas,Ilocos Norte,Ilocos Region,"G/F, 365 Plaza Building, Manila N Rd, San Nicolas, 2901 Ilocos Norte, Philippines",18.1801355,120.5903675,1.6,7,ChIJYbXbn3THjjMRhAJOnsoaZ94,https://www.google.com/maps/place/?q=place_id:ChIJYbXbn3THjjMRhAJOnsoaZ94
UnionBank of the Philippines - Vigan,Bank,OPERATIONAL,Vigan City,Ilocos Sur,Ilocos Region,"A.R. Lahoz Building, Jose Singson, Vigan City, 2700 Ilocos Sur, Philippines",17.569209,120.3860092,3.3,3,ChIJ66X18nZljjMRJoRFksxzIdw,https://www.google.com/maps/place/?q=place_id:ChIJ66X18nZljjMRJoRFksxzIdw
"Union Bank ATM, Vigan - Ilocos Sur",Bank,OPERATIONAL,Vigan City,Ilocos Sur,Ilocos Region,"H99P+M9J, Jose Singson, Vigan City, Ilocos Sur, Philippines",17.5692121,120.3858714,,,ChIJLz9pHHdljjMRefMNJp5pI6c,https://www.google.com/maps/place/?q=place_id:ChIJLz9pHHdljjMRefMNJp5pI6c
UnionBank of the Philippines - San Fernando La Union,Bank,OPERATIONAL,San Fernando City,La Union,Ilocos Region,"G/F, Shania Tower, Quezon Ave, San Fernando City, 2500 La Union, Philippines",16.6135807,120.3162832,2.9,12,ChIJsUsrCUGOkTMR1YKWCTDajvw,https://www.google.com/maps/place/?q=place_id:ChIJsUsrCUGOkTMR1YKWCTDajvw
UnionBank of the Philippines - Novaliches,Bank,OPERATIONAL,Quezon City,NCR,NCR,"854 Quirino Hwy, Novaliches, Quezon City, 1117 Metro Manila, Philippines",14.7129042,121.0404338,2.6,115,ChIJ_y56ZeSwlzMRYWJO0sxmbM0,https://www.google.com/maps/place/?q=place_id:ChIJ_y56ZeSwlzMRYWJO0sxmbM0
UnionBank of the Philippines - Baesa,Bank,OPERATIONAL,Quezon City,NCR,NCR,"Dra. C.Pascual Bldg, C.Pascual Bldg, 142 Quirino Hwy, Quezon City, 1106 Metro Manila, Philippines",14.6667031,121.007524,2.7,22,ChIJXYeiq5W2lzMRA986fD55UIk,https://www.google.com/maps/place/?q=place_id:ChIJXYeiq5W2lzMRA986fD55UIk
UnionBank of the Philippines - Pandacan,Bank,OPERATIONAL,Manila,NCR,NCR,"Mendoza, 1763 Paz, Quezon Blvd, Paco, Manila, 1008 Metro Manila, Philippines",14.5898709,120.997402,3.5,15,ChIJhw9l5fLJlzMR02L02e46DfE,https://www.google.com/maps/place/?q=place_id:ChIJhw9l5fLJlzMR02L02e46DfE
UnionBank of the Philippines - BGC 7th Ave,Bank,OPERATIONAL,Taguig,NCR,NCR,"7th Avenue G/F, cor. 24th St.,Mckinley Building, Taguig, 1630, Philippines",14.5472525,121.0481813,1.9,18,ChIJN3E8U-7IlzMR1Aj3erme1KQ,https://www.google.com/maps/place/?q=place_id:ChIJN3E8U-7IlzMR1Aj3erme1KQ
Unionbank,ATM,OPERATIONAL,Manila,NCR,NCR,"Regina, Escolta St, Binondo, Manila, 1006 Metro Manila, Philippines",14.5986856,120.9797205,,,ChIJGeCCGhvKlzMRjA-iRvZQA3c,https://www.google.com/maps/place/?q=place_id:ChIJGeCCGhvKlzMRjA-iRvZQA3c
UnionBank of the Philippines - Marikina,Bank,OPERATIONAL,Marikina,NCR,NCR,"2 Building, WRC, 47 Mayor Gil Fernando Ave, Marikina, 1801, Philippines",14.6230078,121.102001,2.2,115,ChIJc0kW_0e4lzMR5VJD35jxNc0,https://www.google.com/maps/place/?q=place_id:ChIJc0kW_0e4lzMR5VJD35jxNc0
