Branch Name,Types,Business Status,City,Province,Region,Address,Latitude,Longitude,Rating,User Ratings Count,Place ID,Google Maps Link
Metrobank Laoag - Rizal,Bank,OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"Rizal cor. Guerrero Streets Brgy. 19, Sta. Marcella, Laoag City, 2900, Philippines",18.1937338,120.598248,3.7,6,ChIJx6pqtLfHjjMRrN0u8KWpJ1c,https://www.google.com/maps/place/?q=place_id:ChIJx6pqtLfHjjMRrN0u8KWpJ1c
Metrobank Batac - Ilocos Norte,Bank,OPERATIONAL,City of Batac,Ilocos Norte,Ilocos Region,"Washington St, Brgy. Ablan, City of Batac, 2906 Ilocos Norte, Philippines",18.05605,120.5646873,5,2,ChIJfXZDAkjBjjMRNboGcrjSmJ8,https://www.google.com/maps/place/?q=place_id:ChIJfXZDAkjBjjMRNboGcrjSmJ8
Metrobank Ilocos Norte - San Nicolas,Bank,OPERATIONAL,Laoan City,Ilocos Norte,Ilocos Region,"Mckinley Bldg., National Highway, San Nicolas, 2901 Ilocos Norte, Philippines",18.1720822,120.5937673,5,2,ChIJ9xvO1UPGjjMRTCzNcBZa3cI,https://www.google.com/maps/place/?q=place_id:ChIJ9xvO1UPGjjMRTCzNcBZa3cI
Metrobank ATM,ATM,OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"ATM 1, Brgy. 12 Gen. Segundo Ave, Laoag City, 2900 Capital, Philippines",18.2174587,120.604783,,,ChIJMU6ZCKvJjjMRISp88V_zRC8,https://www.google.com/maps/place/?q=place_id:ChIJMU6ZCKvJjjMRISp88V_zRC8
Metrobank Card Bill Payments,"establishment, finance, point_of_interest",OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"Allied Bank, Pacific Building, Abadillia, Barangay 16, Laoag City, 2900 Ilocos Norte, Philippines",18.1941176,120.596316,,,ChIJXa_-5iHGjjMRNoAX7jMgoyI,https://www.google.com/maps/place/?q=place_id:ChIJXa_-5iHGjjMRNoAX7jMgoyI
Metrobank Card Bill Payments,"establishment, point_of_interest",OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"6J52+366, Metrobank Laoag, Gen Segundo Avenue, Segundo, Laoag City, 2900 Ilocos Norte, Philippines",18.2076634,120.6005331,,,ChIJBdEkLqPIjjMRsWhOJOVIB5g,https://www.google.com/maps/place/?q=place_id:ChIJBdEkLqPIjjMRsWhOJOVIB5g
Metrobank Candon,Bank,OPERATIONAL,Candon City,Ilocos Sur,Ilocos Region,"National Highway, cor Calle Gray, Candon City, 2710 Ilocos Sur, Philippines",17.1887452,120.4469505,,,ChIJk50bnJoZjjMRjtqoRFzhMMQ,https://www.google.com/maps/place/?q=place_id:ChIJk50bnJoZjjMRjtqoRFzhMMQ
Metrobank Vigan,Bank,OPERATIONAL,Vigan City,Ilocos Sur,Ilocos Region,"30 M.L, Quezon Ave, Vigan City, 2700 Ilocos Sur, Philippines",17.5734753,120.3865046,3.8,5,ChIJUUwmkQVljjMRqk8Lb1l9Zl8,https://www.google.com/maps/place/?q=place_id:ChIJUUwmkQVljjMRqk8Lb1l9Zl8
Metrobank Vigan Market,Bank,OPERATIONAL,Vigan City,Ilocos Sur,Ilocos Region,"Nieves Commercial Center, Alcantara St, Vigan City, 2700, Philippines",17.5691232,120.3851295,1,2,ChIJ4Xhx3w5ljjMRwJiKFORuKxo,https://www.google.com/maps/place/?q=place_id:ChIJ4Xhx3w5ljjMRwJiKFORuKxo
Metrobank,Bank,OPERATIONAL,Vigan City,Ilocos Sur,Ilocos Region,"Vigan Landmark Commercial Center, 163 Jose Singson, Vigan City, 2700 Ilocos Sur, Philippines",17.56927,120.3856787,,,ChIJi2fh43ZljjMRDe9hoJQ5Bpg,https://www.google.com/maps/place/?q=place_id:ChIJi2fh43ZljjMRDe9hoJQ5Bpg
