Branch Name,Types,Business Status,City,Province,Region,Address,Latitude,Longitude,Rating,User Ratings Count,Place ID,Google Maps Link
Psbank Bancnet ATM,"atm, establishment, finance, point_of_interest",OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"PSBank, F.R. Castro, St, Laoag City",18.1971267,120.587935,,,ChIJ1bydrCfGjjMR5w-8eqdooMU,https://www.google.com/maps/place/?q=place_id:ChIJ1bydrCfGjjMR5w-8eqdooMU
PNB ATM,"atm, establishment, finance, point_of_interest",OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"PNB, Corner J. P. Rizal Street, Laoag City",18.1959029,120.5924848,5,1,ChIJZeQJIyHGjjMRh7oonLSGpbw,https://www.google.com/maps/place/?q=place_id:ChIJZeQJIyHGjjMRh7oonLSGpbw
BancNet,"atm, establishment, finance, point_of_interest",OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"Laoag City Hall, Laoag City",18.1949888,120.591447,,,ChIJ71JFSiHGjjMR7-HMOAli2Yw,https://www.google.com/maps/place/?q=place_id:ChIJ71JFSiHGjjMR7-HMOAli2Yw
CBS China Bank Savings ATM,"atm, establishment, finance, point_of_interest",OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"LC Square Building, Rizal St., Brgy. 9, Laoag City",18.1962979,120.59167,,,ChIJL_eVKSHGjjMRR9Tfk6ynpqs,https://www.google.com/maps/place/?q=place_id:ChIJL_eVKSHGjjMRR9Tfk6ynpqs
Eastwest Unibank A.T.M,"atm, establishment, finance, point_of_interest",OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"Puregold, Rizal St, Laoag City",18.1950239,120.5945534,,,ChIJ8wxIpCHGjjMRhBcPasLj-ZA,https://www.google.com/maps/place/?q=place_id:ChIJ8wxIpCHGjjMRhBcPasLj-ZA
Maybank ATM,"atm, establishment, finance, point_of_interest",OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"Maybank, Villanueva St, Laoag City",18.194355,120.5954952,,,ChIJCaOUzSHGjjMRn-oV4y5yAfs,https://www.google.com/maps/place/?q=place_id:ChIJCaOUzSHGjjMRn-oV4y5yAfs
CHINABANK A.T.M,"atm, establishment, finance, point_of_interest",OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"China Bank, Liberato Abadilla St., Brgy. 17, San Francisco, Laoag City",18.1939619,120.5962311,4.3,4,ChIJ____kyHGjjMRr7Q15iFFXqE,https://www.google.com/maps/place/?q=place_id:ChIJ____kyHGjjMRr7Q15iFFXqE
PNB A.T.M,"atm, establishment, finance, point_of_interest",OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"5HVW+9FQ, F.R. Castro, Laoag City",18.1934517,120.5962448,,,ChIJT_5-8CHGjjMR7_blLRz1Ztc,https://www.google.com/maps/place/?q=place_id:ChIJT_5-8CHGjjMR7_blLRz1Ztc
Psbank A.T.M,"atm, establishment, finance, point_of_interest",OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"5HVW+8F4, A. Bonifacio, Barangay 17., F.R. Castro St., Laoag City",18.1932637,120.5961972,,,ChIJ3yVM9yHGjjMRzYxSHZbSZ40,https://www.google.com/maps/place/?q=place_id:ChIJ3yVM9yHGjjMRzYxSHZbSZ40
Aub Asia United Bank,"atm, establishment, finance, point_of_interest",OPERATIONAL,Laoag City,Ilocos Norte,Ilocos Region,"5HVX+F8Q, J.P. Rizal St, Corner F. Guerrero St, Barangay 18, Laoag City",18.1937014,120.5983598,,,ChIJ66mPQB_GjjMRv1NOXxkfKOU,https://www.google.com/maps/place/?q=place_id:ChIJ66mPQB_GjjMRv1NOXxkfKOU
